                                                         --INPUT DATA--

     TITLE--  * Airfoil Test                                *                                 

     ITER =  80   IPLOT =  0   IPUNCH =  1   IOP =  0   ICAMTK =  1   IBAD =  1   ITRN =  1   INTR =  2

     NU =  26

     XU=   0.346000E-03   0.553800E-02   0.225000E-01   0.425760E-01   0.723440E-01   0.104191E+00   0.156112E+00   0.206652E+00
           0.255112E+00   0.308072E+00   0.353412E+00   0.394602E+00   0.451022E+00   0.506402E+00   0.559362E+00   0.602632E+00
           0.653172E+00   0.700591E+00   0.749051E+00   0.808241E+00   0.860511E+00   0.916230E+00   0.942540E+00   0.967810E+00
           0.985120E+00   0.999650E+00

     YU=   0.348000E-03   0.833900E-02   0.170340E-01   0.239940E-01   0.337390E-01   0.427910E-01   0.542890E-01   0.623130E-01
           0.679050E-01   0.710690E-01   0.717960E-01   0.707840E-01   0.680470E-01   0.632250E-01   0.580530E-01   0.532220E-01
           0.470070E-01   0.407900E-01   0.342270E-01   0.266290E-01   0.200680E-01   0.135100E-01   0.104030E-01   0.764300E-02
           0.522500E-02   0.245700E-02

     WU=   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01

     NL =  26

     XL=   0.346000E-03   0.519200E-02   0.228440E-01   0.418820E-01   0.650730E-01   0.996870E-01   0.150919E+00   0.202149E+00
           0.258908E+00   0.302178E+00   0.356178E+00   0.408788E+00   0.455518E+00   0.503978E+00   0.559358E+00   0.605749E+00
           0.654209E+00   0.704049E+00   0.753549E+00   0.803389E+00   0.858769E+00   0.915890E+00   0.942540E+00   0.969190E+00
           0.984080E+00   0.100070E+01

     YL=   0.348000E-03  -0.937300E-02  -0.170000E-01  -0.225440E-01  -0.277360E-01  -0.343090E-01  -0.401760E-01  -0.446550E-01
          -0.487820E-01  -0.504860E-01  -0.507950E-01  -0.507570E-01  -0.507230E-01  -0.496460E-01  -0.471760E-01  -0.450580E-01
          -0.415500E-01  -0.376940E-01  -0.324490E-01  -0.275520E-01  -0.209130E-01  -0.139260E-01  -0.107810E-01  -0.694200E-02
          -0.484700E-02  -0.309900E-02

     WL=   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01

   NINT =  40

   XINT=   0.000000E+00   0.980000E-03   0.548000E-02   0.133800E-01   0.243300E-01   0.381100E-01   0.546800E-01   0.739500E-01
           0.957600E-01   0.119990E+00   0.146480E+00   0.175040E+00   0.205490E+00   0.237600E+00   0.271200E+00   0.306090E+00
           0.342040E+00   0.378870E+00   0.416380E+00   0.454350E+00   0.492650E+00   0.530990E+00   0.569370E+00   0.607780E+00
           0.645940E+00   0.683590E+00   0.720430E+00   0.756160E+00   0.790480E+00   0.823090E+00   0.853700E+00   0.882020E+00
           0.907750E+00   0.930640E+00   0.950440E+00   0.966980E+00   0.980370E+00   0.990700E+00   0.997540E+00   0.100000E+01

   CNEW =     1.000
1                                --INPUT COORDINATES--

     TITLE--  * Airfoil Test                                *                                 

         I           XU             YU             XL             YL
         1       0.000346       0.000348       0.000346       0.000348
         2       0.005538       0.008339       0.005192      -0.009373
         3       0.022500       0.017034       0.022844      -0.017000
         4       0.042576       0.023994       0.041882      -0.022544
         5       0.072344       0.033739       0.065073      -0.027736
         6       0.104191       0.042791       0.099687      -0.034309
         7       0.156112       0.054289       0.150919      -0.040176
         8       0.206652       0.062313       0.202149      -0.044655
         9       0.255112       0.067905       0.258908      -0.048782
        10       0.308072       0.071069       0.302178      -0.050486
        11       0.353412       0.071796       0.356178      -0.050795
        12       0.394602       0.070784       0.408788      -0.050757
        13       0.451022       0.068047       0.455518      -0.050723
        14       0.506402       0.063225       0.503978      -0.049646
        15       0.559362       0.058053       0.559358      -0.047176
        16       0.602632       0.053222       0.605749      -0.045058
        17       0.653172       0.047007       0.654209      -0.041550
        18       0.700591       0.040790       0.704049      -0.037694
        19       0.749051       0.034227       0.753549      -0.032449
        20       0.808241       0.026629       0.803389      -0.027552
        21       0.860511       0.020068       0.858769      -0.020913
        22       0.916230       0.013510       0.915890      -0.013926
        23       0.942540       0.010403       0.942540      -0.010781
        24       0.967810       0.007643       0.969190      -0.006942
        25       0.985120       0.005225       0.984080      -0.004847
        26       0.999650       0.002457       1.000700      -0.003099

1                     --TRANSLATED AND ROTATED COORDINATES--

     TITLE--  * Airfoil Test                                *                                 

         I           XU             YU             XL             YL
         1       0.000000       0.000000       0.000000       0.000000
         2       0.005187       0.007994       0.004853      -0.009718
         3       0.022143       0.016701       0.022510      -0.017333
         4       0.042214       0.023674       0.041551      -0.022864
         5       0.071976       0.033439       0.064746      -0.028041
         6       0.103817       0.042512       0.099364      -0.034591
         7       0.155730       0.054045       0.150600      -0.040423
         8       0.206264       0.062103       0.201833      -0.044868
         9       0.254721       0.067727       0.258595      -0.048957
        10       0.307679       0.070927       0.301866      -0.050632
        11       0.353018       0.071684       0.355866      -0.050905
        12       0.394209       0.070700       0.408476      -0.050832
        13       0.450631       0.068001       0.455206      -0.050766
        14       0.506014       0.063216       0.503665      -0.049657
        15       0.558977       0.058079       0.559044      -0.047150
        16       0.602250       0.053277       0.605433      -0.045001
        17       0.652795       0.047096       0.653891      -0.041460
        18       0.700218       0.040911       0.703728      -0.037571
        19       0.748682       0.034380       0.753225      -0.032293
        20       0.807877       0.026822       0.803061      -0.027363
        21       0.860152       0.020296       0.858437      -0.020687
        22       0.915875       0.013775       0.915553      -0.013661
        23       0.942187       0.010685       0.942201      -0.010499
        24       0.967459       0.007942       0.968849      -0.006642
        25       0.984771       0.005536       0.983737      -0.004537
        26       0.999302       0.002778       1.000356      -0.002778

     XNOSE =       0.000346     YNOSE =       0.000348     ANGLE =  -0.038
1                             --SUMMARY OF INPUT DATA--

     TITLE--  * Airfoil Test                                *                                 

         I          X/C            Y/C            THETA          YPS            YPPS              W
         1       1.000000      -0.002777        -180.00                                         1.00
         2       0.983387      -0.004535        -175.04                                         1.00
         3       0.968504      -0.006639        -170.90                                         1.00
         4       0.941866      -0.010495        -164.10                                         1.00
         5       0.915227      -0.013657        -157.93                                         1.00
         6       0.858131      -0.020679        -146.29                                         1.00
         7       0.802776      -0.027353        -136.49                                         1.00
         8       0.752957      -0.032282        -128.54                                         1.00
         9       0.703478      -0.037558        -121.24                                         1.00
        10       0.653658      -0.041446        -114.33                                         1.00
        11       0.605218      -0.044985        -107.92                                         1.00
        12       0.558845      -0.047133        -101.98                                         1.00
        13       0.503486      -0.049639         -95.05                                         1.00
        14       0.455044      -0.050748         -89.04                                         1.00
        15       0.408331      -0.050814         -83.24                                         1.00
        16       0.355739      -0.050887         -76.63                                         1.00
