  alt    sigma     delta   theta  temp   press    dens     a    visc  k.visc
   Km                             degK  N/sq.m   kg/cu.m m/sec kg/m-s sq.m/s
  -2 1.2067E+0 1.2611E+0 1.0451 301.2 1.278E+5 1.478E+0 347.9 18.51 1.25E-5
   0 1.0000E+0 1.0000E+0 1.0000 288.1 1.013E+5 1.225E+0 340.3 17.89 1.46E-5
   2 8.2168E-1 7.8462E-1 0.9549 275.2 7.950E+4 1.007E+0 332.5 17.26 1.71E-5
   4 6.6885E-1 6.0854E-1 0.9098 262.2 6.166E+4 8.193E-1 324.6 16.61 2.03E-5
   6 5.3887E-1 4.6600E-1 0.8648 249.2 4.722E+4 6.601E-1 316.5 15.95 2.42E-5
   8 4.2921E-1 3.5185E-1 0.8198 236.2 3.565E+4 5.258E-1 308.1 15.27 2.90E-5
  10 3.3756E-1 2.6153E-1 0.7748 223.3 2.650E+4 4.135E-1 299.5 14.58 3.53E-5
  12 2.5464E-1 1.9146E-1 0.7519 216.6 1.940E+4 3.119E-1 295.1 14.22 4.56E-5
  14 1.8601E-1 1.3985E-1 0.7519 216.6 1.417E+4 2.279E-1 295.1 14.22 6.24E-5
  16 1.3589E-1 1.0217E-1 0.7519 216.6 1.035E+4 1.665E-1 295.1 14.22 8.54E-5
  18 9.9304E-2 7.4663E-2 0.7519 216.6 7.565E+3 1.216E-1 295.1 14.22 1.17E-4
  20 7.2580E-2 5.4570E-2 0.7519 216.6 5.529E+3 8.891E-2 295.1 14.22 1.60E-4
  22 5.2661E-2 3.9946E-2 0.7585 218.6 4.048E+3 6.451E-2 296.4 14.32 2.22E-4
  24 3.8317E-2 2.9329E-2 0.7654 220.6 2.972E+3 4.694E-2 297.7 14.43 3.07E-4
  26 2.7965E-2 2.1598E-2 0.7723 222.5 2.188E+3 3.426E-2 299.1 14.54 4.24E-4
  28 2.0470E-2 1.5951E-2 0.7792 224.5 1.616E+3 2.508E-2 300.4 14.65 5.84E-4
  30 1.5029E-2 1.1814E-2 0.7861 226.5 1.197E+3 1.841E-2 301.7 14.75 8.01E-4
  32 1.1065E-2 8.7744E-3 0.7930 228.5 8.891E+2 1.356E-2 303.0 14.86 1.10E-3
  34 8.0714E-3 6.5474E-3 0.8112 233.7 6.634E+2 9.887E-3 306.5 15.14 1.53E-3
  36 5.9248E-3 4.9200E-3 0.8304 239.3 4.985E+2 7.258E-3 310.1 15.43 2.13E-3
  38 4.3809E-3 3.7221E-3 0.8496 244.8 3.771E+2 5.367E-3 313.7 15.72 2.93E-3
  40 3.2618E-3 2.8339E-3 0.8688 250.3 2.871E+2 3.996E-3 317.2 16.01 4.01E-3
  42 2.4447E-3 2.1709E-3 0.8880 255.9 2.200E+2 2.995E-3 320.7 16.29 5.44E-3
  44 1.8440E-3 1.6728E-3 0.9072 261.4 1.695E+2 2.259E-3 324.1 16.57 7.34E-3
  46 1.3993E-3 1.2962E-3 0.9263 266.9 1.313E+2 1.714E-3 327.5 16.85 9.83E-3
  48 1.0749E-3 1.0096E-3 0.9393 270.6 1.023E+2 1.317E-3 329.8 17.04 1.29E-2
  50 8.3827E-4 7.8736E-4 0.9393 270.6 7.978E+1 1.027E-3 329.8 17.04 1.66E-2
  52 6.5765E-4 6.1401E-4 0.9337 269.0 6.221E+1 8.056E-4 328.8 16.96 2.10E-2
  54 5.2164E-4 4.7706E-4 0.9145 263.5 4.834E+1 6.390E-4 325.4 16.68 2.61E-2
  56 4.1180E-4 3.6874E-4 0.8954 258.0 3.736E+1 5.045E-4 322.0 16.40 3.25E-2
  58 3.2348E-4 2.8348E-4 0.8763 252.5 2.872E+1 3.963E-4 318.6 16.12 4.07E-2
  60 2.5280E-4 2.1672E-4 0.8573 247.0 2.196E+1 3.097E-4 315.1 15.84 5.11E-2
  62 1.9650E-4 1.6470E-4 0.8382 241.5 1.669E+1 2.407E-4 311.5 15.55 6.46E-2
  64 1.5188E-4 1.2441E-4 0.8191 236.0 1.261E+1 1.861E-4 308.0 15.26 8.20E-2
  66 1.1670E-4 9.3372E-5 0.8001 230.5 9.461E+0 1.430E-4 304.4 14.97 1.05E-1
  68 8.9118E-5 6.9607E-5 0.7811 225.1 7.053E+0 1.092E-4 300.7 14.67 1.34E-1
  70 6.7615E-5 5.1526E-5 0.7621 219.6 5.221E+0 8.283E-5 297.1 14.38 1.74E-1
  72 5.0917E-5 3.7861E-5 0.7436 214.3 3.836E+0 6.237E-5 293.4 14.08 2.26E-1
  74 3.7866E-5 2.7642E-5 0.7300 210.4 2.801E+0 4.639E-5 290.7 13.87 2.99E-1
  76 2.8009E-5 2.0067E-5 0.7165 206.4 2.033E+0 3.431E-5 288.0 13.65 3.98E-1
  78 2.0603E-5 1.4482E-5 0.7029 202.5 1.467E+0 2.524E-5 285.3 13.43 5.32E-1
  80 1.5068E-5 1.0387E-5 0.6894 198.6 1.052E+0 1.846E-5 282.5 13.21 7.16E-1
  82 1.0954E-5 7.4028E-6 0.6758 194.7 7.501E-1 1.342E-5 279.8 12.98 9.68E-1
  84 7.9134E-6 5.2410E-6 0.6623 190.8 5.310E-1 9.694E-6 276.9 12.76 1.32E+0
  86 5.6799E-6 3.6850E-6 0.6488 186.9 3.734E-1 6.958E-6 274.1 12.53 1.80E+0
