 EQUATORIAL TO ECLIPTIC  (angles in degrees)

            EQUATORIAL                    ECLIPTIC

        alpha          delta          lambda         beta
      0.0000000    -90.0000000    270.0000000    -66.5477277
      0.0000000    -60.0000000    325.4203289    -52.6066118
      0.0000000    -30.0000000    347.0593845    -27.3029920
      0.0000000      0.0000000      0.0000000      0.0000000
      0.0000000     30.0000000     12.9406155     27.3029920
      0.0000000     60.0000000     34.5796711     52.6066118
      0.0000000     90.0000000     90.0000000     66.5477277
     30.0000000    -90.0000000    270.0000000    -66.5477277
     30.0000000    -60.0000000    345.0874730    -63.3778356
     30.0000000    -30.0000000     14.8065194    -39.1260460
     30.0000000      0.0000000     27.9082211    -11.4780497
     30.0000000     30.0000000     38.4839907     16.6403623
     30.0000000     60.0000000     52.9705476     44.0262969
     30.0000000     90.0000000     90.0000000     66.5477277
     60.0000000    -90.0000000    270.0000000    -66.5477277
     60.0000000    -60.0000000     11.8767282    -75.1986277
     60.0000000    -30.0000000     48.4778906    -49.2166335
     60.0000000      0.0000000     57.8162030    -20.1613555
     60.0000000     30.0000000     63.9803774      9.2189229
     60.0000000     60.0000000     71.3777663     38.4734659
     60.0000000     90.0000000     90.0000000     66.5477277
     90.0000000    -90.0000000     90.0000000   -113.4522722
     90.0000000    -60.0000000     90.0000000    -83.4522722
     90.0000000    -30.0000000     90.0000000    -53.4522722
     90.0000000      0.0000000     90.0000000    -23.4522722
     90.0000000     30.0000000     90.0000000      6.5477278
     90.0000000     60.0000000     90.0000000     36.5477278
     90.0000000     90.0000000     90.0000000     66.5477278
    120.0000000    -90.0000000    270.0000000    -66.5477277
    120.0000000    -60.0000000    168.1232718    -75.1986277
    120.0000000    -30.0000000    131.5221094    -49.2166335
    120.0000000      0.0000000    122.1837970    -20.1613555
    120.0000000     30.0000000    116.0196226      9.2189229
    120.0000000     60.0000000    108.6222337     38.4734659
    120.0000000     90.0000000     90.0000000     66.5477277
    150.0000000    -90.0000000    270.0000000    -66.5477277
    150.0000000    -60.0000000    194.9125270    -63.3778356
    150.0000000    -30.0000000    165.1934806    -39.1260460
    150.0000000      0.0000000    152.0917789    -11.4780497
    150.0000000     30.0000000    141.5160093     16.6403623
    150.0000000     60.0000000    127.0294524     44.0262969
    150.0000000     90.0000000     90.0000000     66.5477277
    180.0000000    -90.0000000    270.0000000    -66.5477277
    180.0000000    -60.0000000    214.5796711    -52.6066118
    180.0000000    -30.0000000    192.9406155    -27.3029920
    180.0000000      0.0000000    180.0000000     -0.0000000
    180.0000000     30.0000000    167.0593845     27.3029920
    180.0000000     60.0000000    145.4203289     52.6066118
    180.0000000     90.0000000     90.0000000     66.5477277
    210.0000000    -90.0000000    270.0000000    -66.5477277
    210.0000000    -60.0000000    232.9705476    -44.0262969
    210.0000000    -30.0000000    218.4839907    -16.6403623
    210.0000000      0.0000000    207.9082211     11.4780497
    210.0000000     30.0000000    194.8065194     39.1260460
    210.0000000     60.0000000    165.0874730     63.3778356
    210.0000000     90.0000000     90.0000000     66.5477277
    240.0000000    -90.0000000    270.0000000    -66.5477277
    240.0000000    -60.0000000    251.3777663    -38.4734659
    240.0000000    -30.0000000    243.9803774     -9.2189229
    240.0000000      0.0000000    237.8162030     20.1613555
    240.0000000     30.0000000    228.4778906     49.2166335
    240.0000000     60.0000000    191.8767282     75.1986277
    240.0000000     90.0000000     90.0000000     66.5477277
    270.0000000    -90.0000000    270.0000000    -66.5477278
    270.0000000    -60.0000000    270.0000000    -36.5477278
    270.0000000    -30.0000000    270.0000000     -6.5477278
    270.0000000      0.0000000    270.0000000     23.4522722
    270.0000000     30.0000000    270.0000000     53.4522722
    270.0000000     60.0000000    270.0000000     83.4522722
    270.0000000     90.0000000    270.0000000    113.4522722
    300.0000000    -90.0000000    270.0000000    -66.5477277
    300.0000000    -60.0000000    288.6222337    -38.4734659
    300.0000000    -30.0000000    296.0196226     -9.2189229
    300.0000000      0.0000000    302.1837970     20.1613555
    300.0000000     30.0000000    311.5221094     49.2166335
    300.0000000     60.0000000    348.1232718     75.1986277
    300.0000000     90.0000000     90.0000000     66.5477277
    330.0000000    -90.0000000    270.0000000    -66.5477277
    330.0000000    -60.0000000    307.0294524    -44.0262969
    330.0000000    -30.0000000    321.5160093    -16.6403623
    330.0000000      0.0000000    332.0917789     11.4780497
    330.0000000     30.0000000    345.1934806     39.1260460
    330.0000000     60.0000000     14.9125270     63.3778356
    330.0000000     90.0000000     90.0000000     66.5477277
    360.0000000    -90.0000000    270.0000000    -66.5477277
    360.0000000    -60.0000000    325.4203289    -52.6066118
    360.0000000    -30.0000000    347.0593845    -27.3029920
    360.0000000      0.0000000    360.0000000      0.0000000
    360.0000000     30.0000000     12.9406155     27.3029920
    360.0000000     60.0000000     34.5796711     52.6066118
    360.0000000     90.0000000     90.0000000     66.5477277
