 ECLIPTIC TO GALACTIC   (angles in degrees)

            ECLIPTIC                      GALACTIC

        lambda         beta           L              B
      0.0000000    -90.0000000    243.3689969    -29.8118748
      0.0000000    -60.0000000    242.6901535    -59.8083427
      0.0000000    -30.0000000    171.1711722    -89.3771614
      0.0000000      0.0000000     64.7421608    -60.1809806
      0.0000000     30.0000000     64.0530452    -30.1845662
      0.0000000     60.0000000     63.7103789     -0.1863491
      0.0000000     90.0000000     63.3689969     29.8118748
     30.0000000    -90.0000000    243.3689969    -29.8118748
     30.0000000    -60.0000000    217.9818724    -53.4795965
     30.0000000    -30.0000000    161.5532493    -63.4827716
     30.0000000      0.0000000    113.4101614    -48.2617865
     30.0000000     30.0000000     92.1612793    -23.4311230
     30.0000000     60.0000000     78.1760248      3.2934930
     30.0000000     90.0000000     63.3689969     29.8118748
     60.0000000    -90.0000000    243.3689969    -29.8118748
     60.0000000    -60.0000000    208.6730651    -40.0137071
     60.0000000    -30.0000000    169.8231583    -38.0613135
     60.0000000      0.0000000    137.7700047    -25.1409208
     60.0000000     30.0000000    112.8810948     -6.8546250
     60.0000000     60.0000000     89.9022885     12.5989160
     60.0000000     90.0000000     63.3689969     29.8118748
     90.0000000    -90.0000000    243.3689969    -29.8118748
     90.0000000    -60.0000000    209.8346056    -25.1746008
     90.0000000    -30.0000000    180.2496980    -13.8642761
     90.0000000      0.0000000    153.7084677      0.5924120
     90.0000000     30.0000000    127.0310283     14.9236132
     90.0000000     60.0000000     97.1117314     25.8309579
     90.0000000     90.0000000     63.3689969     29.8118748
    120.0000000    -90.0000000    243.3689969    -29.8118748
    120.0000000    -60.0000000    217.2823350    -12.0737539
    120.0000000    -30.0000000    194.6351963      7.7505028
    120.0000000      0.0000000    169.8043441     26.2797528
    120.0000000     30.0000000    137.3288534     39.1988260
    120.0000000     60.0000000     97.9154593     40.6868965
    120.0000000     90.0000000     63.3689969     29.8118748
    150.0000000    -90.0000000    243.3689969    -29.8118748
    150.0000000    -60.0000000    229.1778477     -2.9968452
    150.0000000    -30.0000000    215.7141612     23.9914616
    150.0000000      0.0000000    194.8872773     49.1595617
    150.0000000     30.0000000    145.5239265     64.6560270
    150.0000000     60.0000000     87.9714567     53.9802823
    150.0000000     90.0000000     63.3689969     29.8118748
    180.0000000    -90.0000000    243.3689969    -29.8118748
    180.0000000    -60.0000000    243.7103789      0.1863491
    180.0000000    -30.0000000    244.0530452     30.1845662
    180.0000000      0.0000000    244.7421608     60.1809806
    180.0000000     30.0000000    351.1711722     89.3771614
    180.0000000     60.0000000     62.6901535     59.8083427
    180.0000000     90.0000000     63.3689969     29.8118748
    210.0000000    -90.0000000    243.3689969    -29.8118748
    210.0000000    -60.0000000    258.1760248     -3.2934930
    210.0000000    -30.0000000    272.1612793     23.4311230
    210.0000000      0.0000000    293.4101614     48.2617865
    210.0000000     30.0000000    341.5532493     63.4827716
    210.0000000     60.0000000     37.9818724     53.4795965
    210.0000000     90.0000000     63.3689969     29.8118748
    240.0000000    -90.0000000    243.3689969    -29.8118748
    240.0000000    -60.0000000    269.9022885    -12.5989160
    240.0000000    -30.0000000    292.8810948      6.8546250
    240.0000000      0.0000000    317.7700047     25.1409208
    240.0000000     30.0000000    349.8231583     38.0613135
    240.0000000     60.0000000     28.6730651     40.0137071
    240.0000000     90.0000000     63.3689969     29.8118748
    270.0000000    -90.0000000    243.3689969    -29.8118748
    270.0000000    -60.0000000    277.1117314    -25.8309579
    270.0000000    -30.0000000    307.0310283    -14.9236132
    270.0000000      0.0000000    333.7084677     -0.5924120
    270.0000000     30.0000000      0.2496980     13.8642761
    270.0000000     60.0000000     29.8346056     25.1746008
    270.0000000     90.0000000     63.3689969     29.8118748
    300.0000000    -90.0000000    243.3689969    -29.8118748
    300.0000000    -60.0000000    277.9154593    -40.6868965
    300.0000000    -30.0000000    317.3288534    -39.1988260
    300.0000000      0.0000000    349.8043441    -26.2797528
    300.0000000     30.0000000     14.6351963     -7.7505028
    300.0000000     60.0000000     37.2823350     12.0737539
    300.0000000     90.0000000     63.3689969     29.8118748
    330.0000000    -90.0000000    243.3689969    -29.8118748
    330.0000000    -60.0000000    267.9714567    -53.9802823
    330.0000000    -30.0000000    325.5239265    -64.6560270
    330.0000000      0.0000000     14.8872773    -49.1595617
    330.0000000     30.0000000     35.7141612    -23.9914616
    330.0000000     60.0000000     49.1778477      2.9968452
    330.0000000     90.0000000     63.3689969     29.8118748
    360.0000000    -90.0000000    243.3689969    -29.8118748
    360.0000000    -60.0000000    242.6901535    -59.8083427
    360.0000000    -30.0000000    171.1711722    -89.3771614
    360.0000000      0.0000000     64.7421608    -60.1809806
    360.0000000     30.0000000     64.0530452    -30.1845662
    360.0000000     60.0000000     63.7103789     -0.1863491
    360.0000000     90.0000000     63.3689969     29.8118748
