 EQUATORIAL TO GALACTIC   (angles in degrees)

            EQUATORIAL                    GALACTIC

        lambda         beta           L              B
      0.0000000    -90.0000000    270.0000000    -27.3999999
      0.0000000    -60.0000000    281.0349162    -56.3403770
      0.0000000    -30.0000000    343.4978166    -78.9510796
      0.0000000      0.0000000     64.7421608    -60.1809806
      0.0000000     30.0000000     77.5658194    -31.4170848
      0.0000000     60.0000000     83.9062926     -2.0204108
      0.0000000     90.0000000     90.0000000     27.3999999
     30.0000000    -90.0000000    270.0000000    -27.3999999
     30.0000000    -60.0000000    254.5019218    -55.2171843
     30.0000000    -30.0000000    193.6946749    -74.2317606
     30.0000000      0.0000000    124.8214303    -57.7310488
     30.0000000     30.0000000    107.7766456    -30.1436035
     30.0000000     60.0000000     98.7704980     -1.3884662
     30.0000000     90.0000000     90.0000000     27.3999999
     60.0000000    -90.0000000    270.0000000    -27.3999999
     60.0000000    -60.0000000    238.9256722    -44.1878749
     60.0000000    -30.0000000    195.3472599    -48.3365843
     60.0000000      0.0000000    157.3142895    -36.6508640
     60.0000000     30.0000000    132.0031965    -16.6702417
     60.0000000     60.0000000    111.8375695      5.7435489
     60.0000000     90.0000000     90.0000000     27.3999999
     90.0000000    -90.0000000    270.0000000    -27.3999999
     90.0000000    -60.0000000    235.8396865    -29.5203043
     90.0000000    -30.0000000    203.0062651    -23.1560663
     90.0000000      0.0000000    174.2939924    -10.8579382
     90.0000000     30.0000000    148.0176045      3.8395573
     90.0000000     60.0000000    120.8606068     17.7195104
     90.0000000     90.0000000     90.0000000     27.3999999
    120.0000000    -90.0000000    270.0000000    -27.3999999
    120.0000000    -60.0000000    240.4222856    -15.2608052
    120.0000000    -30.0000000    214.4311038      0.2464429
    120.0000000      0.0000000    188.3800347     15.7037288
    120.0000000     30.0000000    158.6499816     27.6779331
    120.0000000     60.0000000    124.2755202     32.2677337
    120.0000000     90.0000000     90.0000000     27.3999999
    150.0000000    -90.0000000    270.0000000    -27.3999999
    150.0000000    -60.0000000    250.3052397     -4.0114787
    150.0000000    -30.0000000    231.7609460     19.8179016
    150.0000000      0.0000000    206.8686178     41.0849100
    150.0000000     30.0000000    165.6561711     53.0567936
    150.0000000     60.0000000    119.3214657     46.6465856
    150.0000000     90.0000000     90.0000000     27.3999999
    180.0000000    -90.0000000    270.0000000    -27.3999999
    180.0000000    -60.0000000    263.9062926      2.0204108
    180.0000000    -30.0000000    257.5658194     31.4170848
    180.0000000      0.0000000    244.7421608     60.1809806
    180.0000000     30.0000000    163.4978166     78.9510796
    180.0000000     60.0000000    101.0349162     56.3403770
    180.0000000     90.0000000     90.0000000     27.3999999
    210.0000000    -90.0000000    270.0000000    -27.3999999
    210.0000000    -60.0000000    278.7704980      1.3884662
    210.0000000    -30.0000000    287.7766456     30.1436035
    210.0000000      0.0000000    304.8214303     57.7310488
    210.0000000     30.0000000     13.6946749     74.2317606
    210.0000000     60.0000000     74.5019218     55.2171843
    210.0000000     90.0000000     90.0000000     27.3999999
    240.0000000    -90.0000000    270.0000000    -27.3999999
    240.0000000    -60.0000000    291.8375695     -5.7435489
    240.0000000    -30.0000000    312.0031965     16.6702417
    240.0000000      0.0000000    337.3142895     36.6508640
    240.0000000     30.0000000     15.3472599     48.3365843
    240.0000000     60.0000000     58.9256722     44.1878749
    240.0000000     90.0000000     90.0000000     27.3999999
    270.0000000    -90.0000000    270.0000000    -27.3999999
    270.0000000    -60.0000000    300.8606068    -17.7195104
    270.0000000    -30.0000000    328.0176045     -3.8395573
    270.0000000      0.0000000    354.2939924     10.8579382
    270.0000000     30.0000000     23.0062651     23.1560663
    270.0000000     60.0000000     55.8396865     29.5203043
    270.0000000     90.0000000     90.0000000     27.3999999
    300.0000000    -90.0000000    270.0000000    -27.3999999
    300.0000000    -60.0000000    304.2755202    -32.2677337
    300.0000000    -30.0000000    338.6499816    -27.6779331
    300.0000000      0.0000000      8.3800347    -15.7037288
    300.0000000     30.0000000     34.4311038     -0.2464429
    300.0000000     60.0000000     60.4222856     15.2608052
    300.0000000     90.0000000     90.0000000     27.3999999
    330.0000000    -90.0000000    270.0000000    -27.3999999
    330.0000000    -60.0000000    299.3214657    -46.6465856
    330.0000000    -30.0000000    345.6561711    -53.0567936
    330.0000000      0.0000000     26.8686178    -41.0849100
    330.0000000     30.0000000     51.7609460    -19.8179016
    330.0000000     60.0000000     70.3052397      4.0114787
    330.0000000     90.0000000     90.0000000     27.3999999
    360.0000000    -90.0000000    270.0000000    -27.3999999
    360.0000000    -60.0000000    281.0349162    -56.3403770
    360.0000000    -30.0000000    343.4978166    -78.9510796
    360.0000000      0.0000000     64.7421608    -60.1809806
    360.0000000     30.0000000     77.5658194    -31.4170848
    360.0000000     60.0000000     83.9062926     -2.0204108
    360.0000000     90.0000000     90.0000000     27.3999999
