 GALACTIC TO EQUATORIAL   (angles in degrees)

            GALACTIC                      EQUATORIAL

        L              B              alpha          delta
      0.0000000    -90.0000000    192.2500000    -27.3999999
      0.0000000    -60.0000000    225.2861387    -23.4872324
      0.0000000    -30.0000000    255.1112199    -13.3029529
      0.0000000      0.0000000    282.2500000      0.0000000
      0.0000000     30.0000000    309.3887801     13.3029529
      0.0000000     60.0000000    339.2138613     23.4872324
      0.0000000     90.0000000     12.2500000     27.3999999
     30.0000000    -90.0000000    192.2500000    -27.3999999
     30.0000000    -60.0000000    225.7657444    -38.3525434
     30.0000000    -30.0000000    264.1846993    -37.9181450
     30.0000000      0.0000000    297.1295069    -26.3534621
     30.0000000     30.0000000    322.8655034     -8.8782467
     30.0000000     60.0000000    346.1508040     10.1712551
     30.0000000     90.0000000     12.2500000     27.3999999
     60.0000000    -90.0000000    192.2500000    -27.3999999
     60.0000000    -60.0000000    215.9469606    -51.5342256
     60.0000000    -30.0000000    269.4022475    -63.6321536
     60.0000000      0.0000000    320.8079780    -50.2525548
     60.0000000     30.0000000    343.4932457    -25.8337502
     60.0000000     60.0000000    357.7710103      0.8084435
     60.0000000     90.0000000     12.2500000     27.3999999
     90.0000000    -90.0000000     12.2500000   -152.6000000
     90.0000000    -60.0000000     12.2500000   -122.6000000
     90.0000000    -30.0000000     12.2500000    -92.6000000
     90.0000000      0.0000000     12.2500000    -62.6000000
     90.0000000     30.0000000    192.2500000    212.6000000
     90.0000000     60.0000000    192.2500000    182.6000000
     90.0000000     90.0000000    192.2500000    152.6000000
    120.0000000    -90.0000000    192.2500000    -27.3999999
    120.0000000    -60.0000000    168.5530394    -51.5342256
    120.0000000    -30.0000000    115.0977525    -63.6321536
    120.0000000      0.0000000     63.6920220    -50.2525548
    120.0000000     30.0000000     41.0067543    -25.8337502
    120.0000000     60.0000000     26.7289897      0.8084435
    120.0000000     90.0000000     12.2500000     27.3999999
    150.0000000    -90.0000000    192.2500000    -27.3999999
    150.0000000    -60.0000000    158.7342556    -38.3525434
    150.0000000    -30.0000000    120.3153007    -37.9181450
    150.0000000      0.0000000     87.3704931    -26.3534621
    150.0000000     30.0000000     61.6344966     -8.8782467
    150.0000000     60.0000000     38.3491960     10.1712551
    150.0000000     90.0000000     12.2500000     27.3999999
    180.0000000    -90.0000000    192.2500000    -27.3999999
    180.0000000    -60.0000000    159.2138613    -23.4872324
    180.0000000    -30.0000000    129.3887801    -13.3029529
    180.0000000      0.0000000    102.2500000     -0.0000000
    180.0000000     30.0000000     75.1112199     13.3029529
    180.0000000     60.0000000     45.2861387     23.4872324
    180.0000000     90.0000000     12.2500000     27.3999999
    210.0000000    -90.0000000    192.2500000    -27.3999999
    210.0000000    -60.0000000    166.1508040    -10.1712551
    210.0000000    -30.0000000    142.8655034      8.8782467
    210.0000000      0.0000000    117.1295069     26.3534621
    210.0000000     30.0000000     84.1846993     37.9181450
    210.0000000     60.0000000     45.7657444     38.3525434
    210.0000000     90.0000000     12.2500000     27.3999999
    240.0000000    -90.0000000    192.2500000    -27.3999999
    240.0000000    -60.0000000    177.7710103     -0.8084435
    240.0000000    -30.0000000    163.4932457     25.8337502
    240.0000000      0.0000000    140.8079780     50.2525548
    240.0000000     30.0000000     89.4022475     63.6321536
    240.0000000     60.0000000     35.9469606     51.5342256
    240.0000000     90.0000000     12.2500000     27.3999999
    270.0000000    -90.0000000    192.2500000    -27.4000000
    270.0000000    -60.0000000    192.2500000    -57.4000000
    270.0000000    -30.0000000    192.2500000    -87.4000000
    270.0000000      0.0000000    192.2500000     62.6000000
    270.0000000     30.0000000    192.2500000     92.6000000
    270.0000000     60.0000000    192.2500000    122.6000000
    270.0000000     90.0000000    192.2500000    152.6000000
    300.0000000    -90.0000000    192.2500000    -27.3999999
    300.0000000    -60.0000000    206.7289897     -0.8084435
    300.0000000    -30.0000000    221.0067543     25.8337502
    300.0000000      0.0000000    243.6920220     50.2525548
    300.0000000     30.0000000    295.0977525     63.6321536
    300.0000000     60.0000000    348.5530394     51.5342256
    300.0000000     90.0000000     12.2500000     27.3999999
    330.0000000    -90.0000000    192.2500000    -27.3999999
    330.0000000    -60.0000000    218.3491960    -10.1712551
    330.0000000    -30.0000000    241.6344966      8.8782467
    330.0000000      0.0000000    267.3704931     26.3534621
    330.0000000     30.0000000    300.3153007     37.9181450
    330.0000000     60.0000000    338.7342556     38.3525434
    330.0000000     90.0000000     12.2500000     27.3999999
    360.0000000    -90.0000000    192.2500000    -27.3999999
    360.0000000    -60.0000000    225.2861387    -23.4872324
    360.0000000    -30.0000000    255.1112199    -13.3029529
    360.0000000      0.0000000    282.2500000      0.0000000
    360.0000000     30.0000000    309.3887801     13.3029529
    360.0000000     60.0000000    339.2138613     23.4872324
    360.0000000     90.0000000     12.2500000     27.3999999
