 Program PROFILE (Applied Aerodynamics Branch, NASA Ames Research Center)

 Operating mode:  0 - DISPLAY         
 Control file  :                                 
 Geometry file : case3.pinput                            
 Output file id: case3
 Profiles found:  1

 Control file was absent - all defaults taken.

1*    MA409   AIRFOIL WITH NON-SMOOTH COORDINATES  *                             

 Upper surface           

 Number of points:  21

 Derivatives and curvature calculated by nonparametric finite differencing.


        X               Y             Y'             Y"          CURVATURE
  0.0000000E+00  0.1749000E-01   0.103080E+01  -0.264320E+02  -0.892326E+01
  0.1250000E-01  0.2831000E-01   0.700400E+00  -0.264320E+02  -0.145247E+02
  0.2500000E-01  0.3500000E-01   0.487333E+00  -0.765867E+01  -0.556338E+01
  0.5000000E-01  0.4479000E-01   0.326400E+00  -0.521600E+01  -0.448114E+01
  0.7500000E-01  0.5132000E-01   0.238800E+00  -0.179200E+01  -0.164896E+01
  0.1000000E+00  0.5673000E-01   0.194133E+00  -0.178133E+01  -0.168518E+01
  0.1500000E+00  0.6421000E-01   0.125200E+00  -0.976000E+00  -0.953493E+00
  0.2000000E+00  0.6925000E-01   0.881000E-01  -0.508000E+00  -0.502143E+00
  0.2500000E+00  0.7302000E-01   0.473000E-01  -0.112400E+01  -0.112024E+01
  0.3000000E+00  0.7398000E-01   0.132000E-01  -0.240000E+00  -0.239937E+00
  0.3500000E+00  0.7434000E-01  -0.700000E-03  -0.316000E+00  -0.316000E+00
  0.4000000E+00  0.7391000E-01  -0.248000E-01  -0.648000E+00  -0.647403E+00
  0.4500000E+00  0.7186000E-01  -0.446000E-01  -0.144000E+00  -0.143571E+00
  0.5000000E+00  0.6945000E-01  -0.643000E-01  -0.644000E+00  -0.640027E+00
  0.5500000E+00  0.6543000E-01  -0.665667E-01   0.553333E+00   0.549676E+00
  0.6500000E+00  0.6154000E-01  -0.135367E+00  -0.192933E+01  -0.187749E+01
  0.7000000E+00  0.5236000E-01  -0.163100E+00   0.820000E+00   0.788335E+00
  0.8000000E+00  0.4015000E-01  -0.146400E+00  -0.486000E+00  -0.470784E+00
  0.9000000E+00  0.2308000E-01  -0.198500E+00  -0.556000E+00  -0.524686E+00
  0.9500000E+00  0.1246000E-01  -0.223800E+00  -0.456000E+00  -0.423767E+00
  0.1000000E+01  0.7000000E-03  -0.246600E+00  -0.456000E+00  -0.417357E+00

1*    MA409   AIRFOIL WITH NON-SMOOTH COORDINATES  *                             

 Lower surface           

 Number of points:  21

 Derivatives and curvature calculated by nonparametric finite differencing.


        X               Y             Y'             Y"          CURVATURE
  0.0000000E+00  0.1749000E-01  -0.868800E+00   0.275200E+02   0.118386E+02
  0.1250000E-01  0.8780000E-02  -0.524800E+00   0.275200E+02   0.191061E+02
  0.2500000E-01  0.4370000E-02  -0.282533E+00   0.112427E+02   0.100193E+02
  0.5000000E-01  0.8200000E-03  -0.830000E-01   0.472000E+01   0.467164E+01
  0.7500000E-01  0.2200000E-03  -0.164000E-01   0.608000E+00   0.607755E+00
  0.1000000E+00  0.0000000E+00   0.226667E-02   0.885333E+00   0.885327E+00
  0.1500000E+00  0.1220000E-02   0.280000E-01   0.144000E+00   0.143831E+00
  0.2000000E+00  0.2800000E-02   0.392000E-01   0.304000E+00   0.303301E+00
  0.2500000E+00  0.5140000E-02   0.509000E-01   0.164000E+00   0.163365E+00
  0.3000000E+00  0.7890000E-02   0.517000E-01  -0.132000E+00  -0.131473E+00
  0.3500000E+00  0.1031000E-01   0.440000E-01  -0.176000E+00  -0.175490E+00
  0.4000000E+00  0.1229000E-01   0.393000E-01  -0.120000E-01  -0.119723E-01
  0.4500000E+00  0.1424000E-01   0.270000E-01  -0.480000E+00  -0.479476E+00
  0.5000000E+00  0.1499000E-01   0.101000E-01  -0.196000E+00  -0.195970E+00
  0.5500000E+00  0.1525000E-01   0.370000E-02  -0.600000E-01  -0.599988E-01
  0.6000000E+00  0.1536000E-01  -0.360000E-02  -0.232000E+00  -0.231995E+00
  0.7000000E+00  0.1384000E-01  -0.214500E-01  -0.125000E+00  -0.124914E+00
  0.8000000E+00  0.1107000E-01  -0.340000E-01  -0.126000E+00  -0.125782E+00
  0.9000000E+00  0.7040000E-02  -0.599667E-01  -0.393333E+00  -0.391221E+00
  0.9500000E+00  0.3550000E-02  -0.704000E-01  -0.240000E-01  -0.238227E-01
  0.1000000E+01  0.0000000E+00  -0.716000E-01  -0.240000E-01  -0.238166E-01

         
   Maximum thickness/chord (current axes) . .   6.7880% at X/C = 0.25000
   Maximum camber/chord . . . . . . . . . . .   2.5610% at X/C = 0.40000
   Unnormalized area  . . . . . . . . . . . . 0.452563E-01
   Moment of inertia about X axis . . . . . . 0.714763E-04

   L.E.:  0.000000E+00  0.174900E-01  Chord:  0.100000E+01
   Mean-line angle at T.E. (deg.) . . . . . .        -8.70
